ticker,close,date,high,low,month,open,volume
ONGC,181.45,06-10-2023 05:30,183.5,180.6,2023-10,183.5,5759904
CIPLA,1163,06-10-2023 05:30,1181.7,1160.45,2023-10,1165,928951
BPCL,173.6,06-10-2023 05:30,174.5,172,2023-10,172.5,3717076
BRITANNIA,4538.45,06-10-2023 05:30,4549.45,4515,2023-10,4533.85,238131
SBILIFE,1282.95,06-10-2023 05:30,1287.55,1272,2023-10,1276,784191
HINDALCO,472.6,06-10-2023 05:30,476.45,469.35,2023-10,475,3134022
HEROMOTOCO,3038,06-10-2023 05:30,3045,3022.5,2023-10,3040,180660
AXISBANK,1000.95,06-10-2023 05:30,1008,999.4,2023-10,1005,5289753
HDFCBANK,1534.05,06-10-2023 05:30,1545,1529.85,2023-10,1544,8879678
BAJAJ-AUTO,5014.6,06-10-2023 05:30,5120,4997.5,2023-10,5120,279352
SBIN,585.1,09-10-2023 05:30,589,581.55,2023-10,588,9189597
BAJFINANCE,8027.7,09-10-2023 05:30,8135,8018,2023-10,8102.05,747800
TITAN,3267.5,09-10-2023 05:30,3296,3249.05,2023-10,3294.7,822467
ITC,440.45,09-10-2023 05:30,443.2,437.25,2023-10,440.95,5611154
TCS,3638.35,09-10-2023 05:30,3679,3631,2023-10,3645.05,4233074
LT,3074.7,09-10-2023 05:30,3085,3055.55,2023-10,3075,1181760
TATACONSUM,869.84,09-10-2023 05:30,873,856.16,2023-10,857.34,1186046
RELIANCE,1149.13,09-10-2023 05:30,1155.97,1147.5,2023-10,1154.05,7576878
HCLTECH,1249.6,09-10-2023 05:30,1266.65,1231.15,2023-10,1236,3430211
JSWSTEEL,757.55,09-10-2023 05:30,761.4,749.15,2023-10,756.5,725323
ULTRACEMCO,8110.1,09-10-2023 05:30,8199.85,8087.2,2023-10,8170.05,152525
POWERGRID,196.25,09-10-2023 05:30,196.9,193.75,2023-10,196.5,7853369
INFY,1475.45,09-10-2023 05:30,1491,1462.2,2023-10,1464.9,3567552
TRENT,2079.05,09-10-2023 05:30,2089.45,2032.4,2023-10,2035,487722
AIRTEL,924.55,09-10-2023 05:30,928.05,916.55,2023-10,918,2248103
TATAMOTORS,617.35,09-10-2023 05:30,622,613.7,2023-10,620.8,6381189
